id,课程名,简介,状态,模块,学段,学科,年级,出版社,年份,年龄段,应用场景,学期,专题,其他,教师
3521,同步教材：北师大版高中数学高一必修二,,启用,同步名师视频,高中,数学,高中必修二,北京师范大学出版社,2014,,,下册,,,"韩顺,刘喜喜"
3522,同步教材：北师大版高中数学高二必修三,,启用,同步名师视频,高中,数学,高中必修三,北京师范大学出版社,2014,,,上册,,,梅松竹
3523,同步教材：北师大版高中数学高二必修四,,启用,同步名师视频,高中,数学,高中必修四,北京师范大学出版社,2014,,,下册,,,"韩顺,梅松竹"
3524,同步教材：北师大版高中数学高三必修五,,启用,同步名师视频,高中,数学,高中必修五,北京师范大学出版社,2011,,,上册,,,梅松竹
3525,同步教材：北师大版高中英语高一必修一,,启用,同步名师视频,高中,英语,高中必修一,北京师范大学出版社,2009,,,上册,,,胡文婷
3526,同步教材：北师大版高中英语高一必修二,,启用,同步名师视频,高中,英语,高中必修二,北京师范大学出版社,2009,,,下册,,,郭淑贞
3527,同步教材：北师大版高中英语高二必修三,,启用,同步名师视频,高中,英语,高中必修三,北京师范大学出版社,2009,,,上册,,,"孙佰华,陆丽丽"
3528,同步教材：北师大版高中英语高二必修四,,启用,同步名师视频,高中,英语,高中必修四,北京师范大学出版社,2009,,,下册,,,刘松涛
3529,同步教材：北师大版高中英语高三必修五,,启用,同步名师视频,高中,英语,高中必修五,北京师范大学出版社,2009,,,上册,,,陈利华
3530,同步教材：北师大版高中生物高一必修一,,启用,同步名师视频,高中,生物,高中必修一,北京师范大学出版社,2011,,,上册,,,徐晓文
3531,同步教材：北师大版高中生物高一必修二,,启用,同步名师视频,高中,生物,高中必修二,北京师范大学出版社,2010,,,下册,,,徐晓文
3532,同步教材：北师大版高中语文高一必修一,,启用,同步名师视频,高中,语文,高中必修一,北京师范大学出版社,2010,,,上册,,,白杰华
3533,同步教材：北师大版高中语文高一必修二,,启用,同步名师视频,高中,语文,高中必修二,北京师范大学出版社,2010,,,下册,,,周智源
3534,同步教材：北师大版高中语文高二必修三,,启用,同步名师视频,高中,语文,高中必修三,北京师范大学出版社,2010,,,上册,,,高松巍
3535,同步教材：北师大版高中语文高二必修四,,启用,同步名师视频,高中,语文,高中必修四,北京师范大学出版社,2010,,,下册,,,"高松巍,倪文波"
3536,同步教材：北师大版高中历史高一必修一,,启用,同步名师视频,高中,历史,高中必修一,北京师范大学出版社,2013,,,上册,,,"白建宗,熊银忠"
3537,同步教材：北师大版高中历史高一必修二,,启用,同步名师视频,高中,历史,高中必修二,北京师范大学出版社,2013,,,下册,,,刘其芳
3538,同步教材：北师大版高中语文高三必修五,,启用,同步名师视频,高中,语文,高中必修五,北京师范大学出版社,2009,,,上册,,,"齐建良,董新娥"
3539,同步教材：北师大版高中生物高二必修三,,启用,同步名师视频,高中,生物,高中必修三,北京师范大学出版社,2010,,,上册,,,王小敏
3540,同步教材：北师大版高中历史高二必修三,,启用,同步名师视频,高中,历史,高中必修三,北京师范大学出版社,2012,,,上册,,,"闫彩玲,汪庆伟"
3541,同步教材：中图版高中地理高一必修一,,启用,同步名师视频,高中,地理,高中必修一,中国地图出版社,2004,,,上册,,,刘山山
3542,同步教材：中图版高中地理高一必修二,,启用,同步名师视频,高中,地理,高中必修二,中国地图出版社,2008,,,下册,,,郭威
3543,同步教材：中图版高中地理高二必修三,,启用,同步名师视频,高中,地理,高中必修三,中国地图出版社,2004,,,上册,,,郭威
3544,同步教材：外研版高中英语高一必修一,,启用,同步名师视频,高中,英语,高中必修一,外语教学与研究出版社,2006,,,上册,,,周旭
3545,同步教材：外研版高中英语高一必修二,,启用,同步名师视频,高中,英语,高中必修二,外语教学与研究出版社,2006,,,下册,,,周旭
3546,同步教材：外研版高中英语高二必修三,,启用,同步名师视频,高中,英语,高中必修三,外语教学与研究出版社,2006,,,上册,,,陆丽丽
3547,同步教材：外研版高中英语高二必修四,,启用,同步名师视频,高中,英语,高中必修四,外语教学与研究出版社,2006,,,下册,,,陈利华
3548,同步教材：外研版高中英语高三必修五,,启用,同步名师视频,高中,英语,高中必修五,外语教学与研究出版社,2006,,,上册,,,胡文婷
3549,同步教材：湘教版高中地理高一必修一,,启用,同步名师视频,高中,地理,高中必修一,湖南教育出版社,2004,,,上册,,,张晓
3550,同步教材：湘教版高中地理高一必修二,,启用,同步名师视频,高中,地理,高中必修二,湖南教育出版社,2004,,,下册,,,张存起
3551,同步教材：湘教版高中地理高二必修三,,启用,同步名师视频,高中,地理,高中必修三,湖南教育出版社,2004,,,上册,,,张晓
3552,同步教材：浙科版高中生物高一必修一,,启用,同步名师视频,高中,生物,高中必修一,浙江科学出版社,2005,,,上册,,,李欢
3553,同步教材：浙科版高中生物高一必修二,,启用,同步名师视频,高中,生物,高中必修二,浙江科学出版社,2005,,,下册,,,李欢
3554,同步教材：鲁科版高中化学高一必修二,,启用,同步名师视频,高中,化学,高中必修二,山东科学技术出版社,2007,,,下册,,,"巩春辉,刘静娟"
3555,同步教材：鲁科版高中化学高一必修一,,启用,同步名师视频,高中,化学,高中必修一,山东科学技术出版社,2007,,,上册,,,柯伯裕
3556,同步教材：鲁科版高中物理高一必修一,,启用,同步名师视频,高中,物理,高中必修一,山东科学技术出版社,2011,,,上册,,,杨亮
3557,同步教材：鲁科版高中物理高一必修二,,启用,同步名师视频,高中,物理,高中必修二,山东科学技术出版社,2011,,,下册,,,何晓光
3558,同步教材：岳麓版高中历史高一必修一,,启用,同步名师视频,高中,历史,高中必修一,岳麓书社,2004,,,上册,,,闫彩玲
3559,同步教材：岳麓版高中历史高一必修二,,启用,同步名师视频,高中,历史,高中必修二,岳麓书社,2004,,,下册,,,白建宗
3560,同步教材：岳麓版高中历史高二必修三,,启用,同步名师视频,高中,历史,高中必修三,岳麓书社,2004,,,上册,,,白建宗
3561,同步教材：译林版高中英语高一必修一,,启用,同步名师视频,高中,英语,高中必修一,译林出版社,2009,,,上册,,,"潘孝斌,相春平"
3562,同步教材：译林版高中英语高一必修二,,启用,同步名师视频,高中,英语,高中必修二,译林出版社,2009,,,下册,,,"陆锦,潘孝斌"
3563,同步教材：译林版高中英语高二必修三,,启用,同步名师视频,高中,英语,高中必修三,译林出版社,2009,,,上册,,,王海峰
3564,同步教材：译林版高中英语高二必修四,,启用,同步名师视频,高中,英语,高中必修四,译林出版社,2009,,,下册,,,相春平
3565,同步教材：译林版高中英语高三必修五,,启用,同步名师视频,高中,英语,高中必修五,译林出版社,2009,,,上册,,,陆锦
3682,奥数基础班二年级上册,,启用,专题课堂,小学,奥数,小学二年级,,,,,上册,奥数课堂,,徐柳静
3683,奥数基础班二年级下册,,启用,专题课堂,小学,奥数,小学二年级,,,,,下册,奥数课堂,,徐柳静
3684,奥数基础班六年级上册,,启用,专题课堂,小学,奥数,小学六年级,,,,,上册,奥数课堂,,石琼
3685,奥数基础班六年级下册,,启用,专题课堂,小学,奥数,小学六年级,,,,,下册,奥数课堂,,石琼
3686,奥数基础班三年级上册,,启用,专题课堂,小学,奥数,小学三年级,,,,,上册,奥数课堂,,"王希,李春杰"
3687,奥数基础班三年级下册,,启用,专题课堂,小学,奥数,小学三年级,,,,,下册,奥数课堂,,"王希,徐峰,李春杰"
3688,奥数基础班四年级上册,,启用,专题课堂,小学,奥数,小学四年级,,,,,上册,奥数课堂,,杨帆
3689,奥数基础班四年级下册,,启用,专题课堂,小学,奥数,小学四年级,,,,,下册,奥数课堂,,李春杰
3690,奥数基础班五年级上册,,启用,专题课堂,小学,奥数,小学五年级,,,,,上册,奥数课堂,,"孙秀华,慕利斌"
3691,奥数基础班五年级下册,,启用,专题课堂,小学,奥数,小学五年级,,,,,下册,奥数课堂,,孙秀华
3692,奥数基础班一年级上册,,启用,专题课堂,小学,奥数,小学一年级,,,,,上册,奥数课堂,,张杨子
3693,奥数基础班一年级下册,,启用,专题课堂,小学,奥数,小学一年级,,,,,下册,奥数课堂,,张杨子
3694,奥数提高班二年级上册,,启用,专题课堂,小学,奥数,小学二年级,,,,,上册,奥数课堂,,孙振兴
3695,奥数提高班二年级下册,,启用,专题课堂,小学,奥数,小学二年级,,,,,下册,奥数课堂,,"孙振兴,徐柳静"
3696,奥数提高班六年级下册,,启用,专题课堂,小学,奥数,小学六年级,,,,,下册,奥数课堂,,石琼
3697,奥数提高班三年级上册,,启用,专题课堂,小学,奥数,小学三年级,,,,,上册,奥数课堂,,"徐峰,李春杰"
3698,奥数提高班三年级下册,,启用,专题课堂,小学,奥数,小学三年级,,,,,下册,奥数课堂,,徐峰
3699,奥数提高班四年级上册,,启用,专题课堂,小学,奥数,小学四年级,,,,,上册,奥数课堂,,李春杰
3700,奥数提高班四年级下册,,启用,专题课堂,小学,奥数,小学四年级,,,,,下册,奥数课堂,,李春杰
3701,奥数提高班五年级上册,,启用,专题课堂,小学,奥数,小学五年级,,,,,上册,奥数课堂,,慕利斌
3702,奥数提高班五年级下册,,启用,专题课堂,小学,奥数,小学五年级,,,,,下册,奥数课堂,,"慕利斌,孙秀华"
3703,奥数提高班一年级上册,,启用,专题课堂,小学,奥数,小学一年级,,,,,上册,奥数课堂,,"张杨子,慕利斌"
3704,奥数提高班一年级下册,,启用,专题课堂,小学,奥数,小学一年级,,,,,下册,奥数课堂,," "
3705,薄冰语法之基础篇（上）,,启用,专题课堂,,英语,,,,,,,英语语法,,陈利华
3706,薄冰语法之基础篇（下）,,启用,专题课堂,,英语,,,,,,,英语语法,,"陈利华,郭浪"
3707,薄冰语法之基础篇（中）,,启用,专题课堂,,英语,,,,,,,英语语法,,陈利华
3708,薄冰语法之提高篇（上）,,启用,专题课堂,,英语,,,,,,,英语语法,,胡文婷
3709,薄冰语法之提高篇（下）,,启用,专题课堂,,英语,,,,,,,英语语法,,田盼霞
3710,薄冰语法之提高篇（中）,,启用,专题课堂,,英语,,,,,,,英语语法,,"胡文婷,田盼霞"
3711,初中单词王（Ability）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3712,初中单词王（Appointment）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3713,初中单词王（Busyness）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3714,初中单词王（Compliment）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3715,初中单词王（Gratitude、Apology）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3716,初中单词王（Greetings）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3717,初中单词王（Intention）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3718,初中单词王（Introduction）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3719,初中单词王（opinion）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3720,初中单词王（request）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3721,初中单词王（speculations）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3722,"初中单词王（Taking Leave、Good Wishes）",,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3723,初中单词王（Welcome、Invitation）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3724,初中单词王（Willingness）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3725,初中地理必考点,,启用,专题课堂,初中,地理,,,,,,,必考点,,"刘飞,甘文静"
3726,初中化学必考点,,启用,专题课堂,初中,化学,,,,,,,必考点,,"刘佳茜,王学兵,张璐璐"
3727,初中历史必考点,,启用,专题课堂,初中,历史,,,,,,,必考点,,王秀芹
3728,初中生物必考点,,启用,专题课堂,初中,生物,,,,,,,必考点,,关雪莲
3729,初中数学必考点,,启用,专题课堂,初中,数学,,,,,,,必考点,,"徐杏平,庄四化"
3730,初中物理必考点,,启用,专题课堂,初中,物理,,,,,,,必考点,,"阳熠,干海涛"
3731,初中英语必考点,,启用,专题课堂,初中,英语,,,,,,,必考点,,任述渺
3732,初中语文必考点,,启用,专题课堂,初中,语文,,,,,,,必考点,,赵文奇
3733,初中政治必考点,,启用,专题课堂,初中,政治,,,,,,,必考点,,"陶建华,田娟"
3734,读故事记单词之初中篇（上）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3735,读故事记单词之初中篇（下）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3736,读故事记单词之初中篇（中）,,启用,专题课堂,初中,英语,,,,,,,英语单词,," "
3737,读故事记单词之高中篇（上）,,启用,专题课堂,高中,英语,,,,,,,英语单词,," "
3738,读故事记单词之高中篇（下）,,启用,专题课堂,高中,英语,,,,,,,英语单词,," "
3739,读故事记单词之高中篇（中）,,启用,专题课堂,高中,英语,,,,,,,英语单词,," "
3740,高考化学实验课,,启用,专题课堂,高中,化学,,,,,,,,,韩可德
3741,高考化学拓展课程,,启用,专题课堂,高中,化学,,,,,,,,,"詹历明,崔勇"
3742,高考化学压轴题,,启用,专题课堂,高中,化学,,,,,,,,,崔勇
3743,高中地理必考点,,启用,专题课堂,高中,地理,,,,,,,必考点,,陈高经
3744,高中化学必考点,,启用,专题课堂,高中,化学,,,,,,,必考点,,韩可德
3745,高中历史必考点,,启用,专题课堂,高中,历史,,,,,,,必考点,,胡久旺
3746,高中生物必考点,,启用,专题课堂,高中,生物,,,,,,,必考点,,"何彬,王小敏"
3747,高中数学必考点,,启用,专题课堂,高中,数学,,,,,,,必考点,,张海乾
3748,高中物理必考点,,启用,专题课堂,高中,物理,,,,,,,必考点,,"丁峰,汪明堂,熊涛"
3749,高中英语必考点,,启用,专题课堂,高中,英语,,,,,,,必考点,,孙佰华
3750,高中语文必考点,,启用,专题课堂,高中,语文,,,,,,,必考点,,胡琴
3751,高中政治必考点,,启用,专题课堂,高中,政治,,,,,,,必考点,,党跃岭
3752,国际音标逆向学习法,,启用,专题课堂,,英语,,,,,,,,," "
3753,国际音标自然学习法,,启用,专题课堂,,英语,,,,,,,,," "
3754,基础粤语入门,,启用,专题课堂,,,,,,,,,,,张家碧玉
3755,美式KK音标自然学习法,,启用,专题课堂,,英语,,,,,,,,," "
3756,妙解教材：小学英语六年级上册,,启用,妙解教材,小学,语文,小学六年级,人民教育出版社,2001,3-6岁,习惯,上册,精品微课,," "
3757,妙解教材：小学英语四年级上册,,启用,妙解教材,小学,语文,小学四年级,人民教育出版社,2001,3-6岁,习惯,上册,精品微课,,左惠连
3758,妙解教材：小学英语五年级上册,,启用,妙解教材,小学,语文,小学五年级,人民教育出版社,2001,3-6岁,习惯,上册,精品微课,,左惠连
3759,唐诗三百首,,启用,专题课堂,小学,,,,,,,,唐诗精选,," "
3760,"小学单词王：Unit 1",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3761,"小学单词王：Unit 10",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3762,"小学单词王：Unit 11",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3763,"小学单词王：Unit 12",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3764,"小学单词王：Unit 2",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3765,"小学单词王：Unit 3",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3766,"小学单词王：Unit 4",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3767,"小学单词王：Unit 5",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3768,"小学单词王：Unit 6",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3769,"小学单词王：Unit 7",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3770,"小学单词王：Unit 8",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3771,"小学单词王：Unit 9",,启用,专题课堂,小学,英语,,,,,,,英语单词,," "
3772,小学科学动漫六年级上册,,启用,专题课堂,小学,语文,小学六年级,人民教育出版社,2001,3-6岁,习惯,上册,奥数课堂,," "
3773,小学科学动漫六年级下册,,启用,专题课堂,小学,语文,小学六年级,人民教育出版社,2001,3-6岁,习惯,下册,科学动漫,," "
3774,小学科学动漫三年级上册,,启用,专题课堂,小学,语文,小学三年级,人民教育出版社,2001,3-6岁,习惯,上册,科学动漫,," "
3775,小学科学动漫三年级下册,,启用,专题课堂,小学,语文,小学三年级,人民教育出版社,2001,3-6岁,习惯,下册,科学动漫,," "
3776,小学科学动漫四年级上册,,启用,专题课堂,小学,语文,小学四年级,人民教育出版社,2001,3-6岁,习惯,上册,科学动漫,," "
3777,小学科学动漫四年级下册,,启用,专题课堂,小学,语文,小学四年级,人民教育出版社,2001,3-6岁,习惯,下册,科学动漫,," "
3778,小学科学动漫五年级上册,,启用,专题课堂,小学,语文,小学五年级,人民教育出版社,2001,3-6岁,习惯,上册,科学动漫,," "
3779,小学科学动漫五年级下册,,启用,专题课堂,小学,语文,小学五年级,人民教育出版社,2001,3-6岁,习惯,下册,科学动漫,," "
3780,小学数学必考点,,启用,专题课堂,小学,数学,,,,,,,必考点,," "
3781,小学语文必考点,,启用,专题课堂,小学,语文,,,,,,,必考点,," "
3782,新概念英语第二册（上）,,启用,专题课堂,,英语,,,,,,,,," "
3783,新概念英语第二册（下）,,启用,专题课堂,,英语,,,,,,,,," "
3784,新概念英语第二册（中）,,启用,专题课堂,,英语,,,,,,,,," "
3785,新概念英语第一册（上）,,启用,专题课堂,,英语,,,,,,,,," "
3786,新概念英语第一册（下）,,启用,专题课堂,,英语,,,,,,,,," "
3787,英语5分钟,,启用,专题课堂,,英语,,,,,,,,," "
3788,英语900句之基础篇,,启用,专题课堂,,英语,,,,,,,,," "
3789,英语900句之生活篇,,启用,专题课堂,,英语,,,,,,,,," "
3790,粤语入门生活篇,,启用,专题课堂,,,,,,,,,,," "
3791,中考化学实验课,,启用,专题课堂,初中,化学,,,,,,,,," "
3792,中考生物实验课,,启用,专题课堂,初中,生物,,,,,,,,," "
3793,作文指导之初中篇,,启用,专题课堂,初中,语文,,,,,,,作文指导,," "
3794,作文指导之高中篇,,启用,专题课堂,初中,语文,,,,,,,作文指导,," "
3796,状元课堂：小学语文一年级上册,,启用,状元大课堂,小学,语文,小学一年级,,,,,上册,精品微课,,孙芬
3797,状元课堂：小学语文一年级下册,,启用,状元大课堂,小学,语文,小学一年级,,,,,下册,精品微课,,杨思思
3798,状元课堂：小学语文二年级上册,,启用,状元大课堂,小学,语文,小学二年级,,,,,上册,精品微课,,孙芬
3799,状元课堂：小学语文二年级下册,,启用,状元大课堂,小学,语文,小学二年级,,,,,下册,精品微课,,杨思思
3800,状元课堂：小学语文三年级上册,,启用,状元大课堂,小学,语文,小学三年级,,,,,上册,精品微课,,孙芬
3801,状元课堂：小学语文三年级下册,,启用,状元大课堂,小学,语文,小学三年级,,,,,下册,精品微课,,王爽
3802,状元课堂：小学语文四年级上册,,启用,状元大课堂,小学,语文,小学四年级,,,,,上册,精品微课,,杨思思
3803,状元课堂：小学语文四年级下册,,启用,状元大课堂,小学,语文,小学四年级,,,,,下册,精品微课,,王爽
3804,状元课堂：小学语文五年级上册,,启用,状元大课堂,小学,语文,小学五年级,,,,,上册,精品微课,,杨思思
3805,状元课堂：小学语文五年级下册,,启用,状元大课堂,小学,语文,小学五年级,,,,,下册,精品微课,,丁彦霞
3806,状元课堂：小学语文六年级上册,,启用,状元大课堂,小学,语文,小学六年级,,,,,上册,精品微课,,杨思思
3807,状元课堂：小学语文六年级下册,,启用,状元大课堂,小学,语文,小学六年级,,,,,下册,精品微课,,"丁彦霞,李春杰"
3808,状元课堂：小学数学一年级上册,,启用,状元大课堂,小学,数学,小学一年级,,,,,上册,精品微课,,汪丽芳
3809,状元课堂：小学数学一年级下册,,启用,状元大课堂,小学,数学,小学一年级,,,,,下册,精品微课,,汪丽芳
3810,状元课堂：小学数学二年级上册,,启用,状元大课堂,小学,数学,小学二年级,,,,,上册,精品微课,,汪丽芳
3811,状元课堂：小学数学二年级下册,,启用,状元大课堂,小学,数学,小学二年级,,,,,下册,精品微课,,李春杰
3812,状元课堂：小学数学三年级上册,,启用,状元大课堂,小学,数学,小学三年级,,,,,上册,精品微课,,汪丽芳
3813,状元课堂：小学数学三年级下册,,启用,状元大课堂,小学,数学,小学三年级,,,,,下册,精品微课,,李春杰
3814,状元课堂：小学数学四年级上册,,启用,状元大课堂,小学,数学,小学四年级,,,,,上册,精品微课,,汪丽芳
3815,状元课堂：小学数学四年级下册,,启用,状元大课堂,小学,数学,小学四年级,,,,,下册,精品微课,,李春杰
3816,状元课堂：小学数学五年级上册,,启用,状元大课堂,小学,数学,小学五年级,,,,,上册,精品微课,,汪丽芳
3817,状元课堂：小学数学五年级下册,,启用,状元大课堂,小学,数学,小学五年级,,,,,下册,精品微课,,汪丽芳
3818,状元课堂：小学数学六年级上册,,启用,状元大课堂,小学,数学,小学六年级,,,,,上册,精品微课,,汪丽芳
3819,状元课堂：小学数学六年级下册,,启用,状元大课堂,小学,数学,小学六年级,,,,,下册,精品微课,,汪丽芳
3913,同步知识点微课：小学英语六年级上册,,启用,,小学,英语,小学六年级,,,,同步知识点微课,上册,,,"刘松涛,钱坤,付茉,李婷,苏婷,刘敏,柴女,李艳"
3943,英文儿歌,儿歌是孩子童年的好伙伴，让孩子在欢乐中学习知识。听英文儿歌，让孩子尽早接触英语，赢在起跑线上。给未来的英语学习，打下一个良好的基础。,启用,格灵儿童英语,学前,,,,,3-6岁,格灵儿童英语,,儿歌童谣,," "
3944,欢乐英语儿歌,,启用,格灵儿童英语,学前,,,,,,,,儿歌童谣,," "
3945,儿歌童谣之动物篇,,启用,儿歌,学前,,,,,,,,儿歌童谣,," "
3946,儿歌童谣之生活篇,,启用,儿歌,学前,,,,,,,,儿歌童谣,," "
3947,儿歌童谣之植物篇,,启用,儿歌,学前,,,,,,,,儿歌童谣,," "
3948,儿歌童谣之自然篇,,启用,儿歌,学前,,,,,,,,儿歌童谣,," "
3949,故事屋之睡前故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3950,故事屋之童话故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3951,故事屋之伊索寓言,,启用,故事,学前,,,,,,,,故事动漫,," "
3952,故事屋之谚语故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3953,故事屋之成语故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3954,故事屋之笑话故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3955,故事屋之人物故事,,启用,故事,学前,,,,,,,,故事动漫,," "
3956,故事屋之一千零一夜,,启用,故事,学前,,,,,,,,故事动漫,," "
3957,儿童唐诗100,,启用,国学,学前,,,,,,,,唐诗精选,," "
3958,亲子乐园之安全知识,,启用,亲子,学前,,,,,,,,早教认知,," "
3959,亲子乐园之社会情感,,启用,亲子,学前,,,,,,,,早教认知,," "
3960,亲子乐园之习惯养成,,启用,亲子,学前,,,,,,,,早教认知,," "
3961,亲子乐园之生活礼仪,,启用,亲子,学前,,,,,,,,早教认知,," "
3962,安全知识微课之平安出行,,启用,亲子,学前,,,,,,,,安全知识,," "
3963,安全知识微课之卫生健康,,启用,亲子,学前,,,,,,,,安全知识,," "
3964,安全知识微课之校园安全,,启用,亲子,学前,,,,,,,,安全知识,," "
3965,安全知识微课之预防溺水,,启用,亲子,学前,,,,,,,,安全知识,," "
3966,安全知识微课之逃离火灾,,启用,亲子,学前,,,,,,,,安全知识,," "
3967,国学馆之生活百家姓,,启用,国学,学前,,,,,,,,国学动漫,," "
3968,国学馆之弟子规,,启用,国学,学前,,,,,,,,国学动漫,," "
3969,国学馆之论语,,启用,国学,学前,,,,,,,,国学动漫,," "
3970,国学馆之趣味千字文,,启用,国学,学前,,,,,,,,国学动漫,," "
3971,国学馆之乐学三字经,,启用,国学,学前,,,,,,,,国学动漫,," "
3972,国学馆之增广贤文,,启用,国学,学前,,,,,,,,国学动漫,," "
3973,读故事记单词,,启用,格灵儿童英语,学前,,,,,,,,英语单词,," "
3974,亲子乐园之幼儿图解,,启用,亲子,学前,,,,,,,,早教认知,," "
3975,亲子乐园之幼儿英语,,启用,亲子,学前,,,,,,,,早教认知,," "
3976,亲子乐园之启蒙认知,,启用,亲子,学前,,,,,,,,早教认知,," "
3977,奥数提高班六年级上册,,启用,,小学,数学,小学六年级,,,,专题课堂,下册,奥数课堂,,石琼
4229,属性测试,,启用,,小学,语文,小学一年级,人民教育出版社,2001,6岁以上,习惯,上册,唐诗精选,幼儿女声," "
4230,测试课程,,启用,,学前,语文,小学一年级,人民教育出版社,2001,1-2岁,礼貌,上册,早教认知,成年女声," "
4231,测试课程2,,启用,,小学,数学,小学一年级,北京师范大学出版社,2002,6岁以上,习惯,上册,奥数课堂,成年男声," "
